arm,unique_rows,seed,codec,effective_bits_per_value,heldout_bits_saved_per_token,retention_bits,task_score,retention_accuracy
arm_e,2000,33,sub0_500,0.523434,0.439827,0.833092,0.27293404094010615,0.4113263785394932
arm_e,2000,33,sub0_625,0.648785,0.483487,0.91579,,
arm_e,2000,33,sub0_750,0.774129,0.506437,0.959261,,
arm_e,2000,33,sub0_875,0.899469,0.523441,0.991468,,
arm_e,2000,33,binary,1.022357,0.53472,1.012832,0.5511751326762699,0.9582712369597615
arm_e,2000,33,blend1_25,1.271557,0.543485,1.029435,0.5701288855193328,0.9955290611028316
arm_e,2000,33,blend1_50,1.512309,0.5495,1.040828,0.5837755875663382,1.0223546944858422
arm_e,2000,33,blend1_75,1.752453,0.548825,1.039549,0.5815011372251706,1.0178837555886735
arm_e,2000,33,uniform2,1.989471,0.54612,1.034426,0.574677786201668,1.0044709388971684
arm_a,4000,11,sub0_0625,0.084336,0.065635,0.117287,,
arm_a,4000,11,sub0_125,0.147109,0.139446,0.249185,,
arm_a,4000,11,sub0_1875,0.209809,0.214408,0.383139,,
arm_a,4000,11,sub0_250,0.272543,0.276036,0.493264,,
arm_a,4000,11,sub0_375,0.398066,0.374216,0.668708,,
arm_a,4000,11,sub0_500,0.52346,0.449059,0.802449,0.35405610310841545,0.6177419354838709
arm_a,4000,11,sub0_625,0.648843,0.490139,0.875857,,
arm_a,4000,11,sub0_750,0.774207,0.517087,0.924012,,
arm_a,4000,11,sub0_875,0.899559,0.535984,0.957781,,
arm_a,4000,11,binary,1.022456,0.548055,0.979351,0.5398028809704322,1.0129032258064516
arm_a,4000,11,blend1_25,1.27169,0.558869,0.998674,0.5451099317664898,1.0241935483870968
arm_a,4000,11,blend1_50,1.512389,0.566203,1.011781,0.5489006823351024,1.032258064516129
arm_a,4000,11,blend1_75,1.752876,0.570535,1.019521,0.5534495830174374,1.0419354838709676
arm_a,4000,11,uniform2,1.990624,0.570572,1.019588,0.5564821834723275,1.0483870967741935
arm_a,4000,22,sub0_0625,0.084336,0.051396,0.092188,,
arm_a,4000,22,sub0_125,0.147109,0.1218,0.21847,,
arm_a,4000,22,sub0_1875,0.209809,0.195038,0.349837,,
arm_a,4000,22,sub0_250,0.272544,0.261515,0.469076,,
arm_a,4000,22,sub0_375,0.398054,0.354994,0.636748,,
arm_a,4000,22,sub0_500,0.52347,0.426353,0.764743,0.30932524639878695,0.4969325153374233
arm_a,4000,22,sub0_625,0.648845,0.470811,0.844486,,
arm_a,4000,22,sub0_750,0.774199,0.49942,0.895803,,
arm_a,4000,22,sub0_875,0.899548,0.522593,0.937368,,
arm_a,4000,22,binary,1.022441,0.537229,0.963621,0.5284306292645944,0.9401840490797546
arm_a,4000,22,blend1_25,1.271627,0.551726,0.989623,0.5428354814253222,0.9693251533742332
arm_a,4000,22,blend1_50,1.51228,0.560808,1.005913,0.5481425322213799,0.9800613496932516
arm_a,4000,22,blend1_75,1.752774,0.565216,1.013821,0.555724033358605,0.9953987730061349
arm_a,4000,22,uniform2,1.990302,0.566223,1.015626,0.5579984836997726,1.0
arm_a,4000,33,sub0_0625,0.084336,0.066548,0.120464,,
arm_a,4000,33,sub0_125,0.147109,0.134216,0.242954,,
arm_a,4000,33,sub0_1875,0.209807,0.208688,0.377761,,
arm_a,4000,33,sub0_250,0.272537,0.266242,0.481944,,
arm_a,4000,33,sub0_375,0.398047,0.368008,0.666157,,
arm_a,4000,33,sub0_500,0.52345,0.440175,0.796792,0.35784685367702807,0.610062893081761
arm_a,4000,33,sub0_625,0.648791,0.480616,0.869997,,
arm_a,4000,33,sub0_750,0.774141,0.509701,0.922646,,
arm_a,4000,33,sub0_875,0.899482,0.528123,0.955994,,
arm_a,4000,33,binary,1.02237,0.541614,0.980414,0.5413191811978771,0.990566037735849
arm_a,4000,33,blend1_25,1.27157,0.553792,1.002459,0.5617892342683851,1.0330188679245282
arm_a,4000,33,blend1_50,1.512273,0.561907,1.017148,0.5610310841546626,1.0314465408805031
arm_a,4000,33,blend1_75,1.752692,0.564752,1.022297,0.5655799848369977,1.040880503144654
arm_a,4000,33,uniform2,1.989692,0.564807,1.022397,0.577710386656558,1.0660377358490567
arm_b,8000,11,sub0_0625,0.084336,0.068093,0.117787,,
arm_b,8000,11,sub0_125,0.147109,0.145105,0.251002,,
arm_b,8000,11,sub0_1875,0.209801,0.229403,0.39682,,
arm_b,8000,11,sub0_250,0.272536,0.295484,0.511127,,
arm_b,8000,11,sub0_375,0.398056,0.412332,0.713249,,
arm_b,8000,11,sub0_500,0.523443,0.475471,0.822465,0.4131918119787718,0.6114058355437665
arm_b,8000,11,sub0_625,0.648828,0.515281,0.891329,,
arm_b,8000,11,sub0_750,0.774179,0.543653,0.940406,,
arm_b,8000,11,sub0_875,0.899546,0.561146,0.970667,,
arm_b,8000,11,binary,1.022441,0.572081,0.989581,0.5875663381349507,0.916445623342175
arm_b,8000,11,blend1_25,1.270234,0.583243,1.008889,0.5966641394996209,0.9323607427055703
arm_b,8000,11,blend1_50,1.507091,0.589935,1.020465,0.6163760424564063,0.9668435013262598
arm_b,8000,11,blend1_75,1.743264,0.592573,1.025027,0.6307808946171342,0.9920424403183022
arm_b,8000,11,uniform2,1.973851,0.590942,1.022206,0.6489764973464746,1.0238726790450927
arm_b,8000,22,sub0_0625,0.084336,0.065573,0.112688,,
arm_b,8000,22,sub0_125,0.147109,0.150112,0.257969,,
arm_b,8000,22,sub0_1875,0.209809,0.229362,0.394161,,
arm_b,8000,22,sub0_250,0.272544,0.30458,0.523425,,
arm_b,8000,22,sub0_375,0.398073,0.394645,0.678203,,
arm_b,8000,22,sub0_500,0.523476,0.466519,0.801718,0.36694465504169826,0.5517241379310345
arm_b,8000,22,sub0_625,0.648861,0.509815,0.876124,,
arm_b,8000,22,sub0_750,0.774236,0.539365,0.926905,,
arm_b,8000,22,sub0_875,0.899615,0.558361,0.95955,,
arm_b,8000,22,binary,1.022505,0.571071,0.981392,0.558756633813495,0.9006896551724137
arm_b,8000,22,blend1_25,1.270189,0.582952,1.001811,0.5633055344958302,0.9089655172413793
arm_b,8000,22,blend1_50,1.507246,0.591497,1.016495,0.5951478392721758,0.9668965517241379
arm_b,8000,22,blend1_75,1.743681,0.594019,1.020829,0.599696739954511,0.9751724137931036
arm_b,8000,22,uniform2,1.974137,0.591579,1.016635,0.6065200909780136,0.9875862068965517
arm_b,8000,33,sub0_0625,0.084336,0.075765,0.127318,,
arm_b,8000,33,sub0_125,0.147109,0.15354,0.258015,,
arm_b,8000,33,sub0_1875,0.209809,0.238742,0.401193,,
arm_b,8000,33,sub0_250,0.272544,0.307411,0.516587,,
arm_b,8000,33,sub0_375,0.398062,0.403256,0.677649,,
arm_b,8000,33,sub0_500,0.523464,0.468741,0.787693,0.4048521607278241,0.6311360448807853
arm_b,8000,33,sub0_625,0.648854,0.515028,0.865476,,
arm_b,8000,33,sub0_750,0.774205,0.541258,0.909553,,
arm_b,8000,33,sub0_875,0.899583,0.560893,0.942548,,
arm_b,8000,33,binary,1.02247,0.572756,0.962484,0.5572403335860501,0.9130434782608696
arm_b,8000,33,blend1_25,1.270242,0.588378,0.988736,0.5799848369977255,0.9551192145862553
arm_b,8000,33,blend1_50,1.507335,0.598291,1.005394,0.5807429871114481,0.9565217391304349
arm_b,8000,33,blend1_75,1.743724,0.60225,1.012046,0.6004548900682335,0.9929873772791025
arm_b,8000,33,uniform2,1.974282,0.603134,1.013531,0.6148597422289613,1.0196353436185135
arm_c,16000,11,sub0_0625,0.084336,0.070804,0.114685,,
arm_c,16000,11,sub0_125,0.147109,0.146634,0.237511,,
arm_c,16000,11,sub0_1875,0.209806,0.226407,0.366723,,
arm_c,16000,11,sub0_250,0.27254,0.294387,0.476835,,
arm_c,16000,11,sub0_375,0.398066,0.419589,0.679631,,
arm_c,16000,11,sub0_500,0.523463,0.490208,0.794016,0.34950720242608035,0.4637146371463714
arm_c,16000,11,sub0_625,0.648845,0.531039,0.860151,,
arm_c,16000,11,sub0_750,0.774224,0.555831,0.900308,,
arm_c,16000,11,sub0_875,0.8996,0.573549,0.929008,,
arm_c,16000,11,binary,1.022483,0.586235,0.949555,0.5890826383623957,0.8523985239852397
arm_c,16000,11,blend1_25,1.270142,0.601051,0.973554,0.6285064442759667,0.9163591635916359
arm_c,16000,11,blend1_50,1.506722,0.610977,0.989632,0.620166793025019,0.9028290282902829
arm_c,16000,11,blend1_75,1.742702,0.618028,1.001052,0.6565579984836998,0.9618696186961869
arm_c,16000,11,uniform2,1.97276,0.619864,1.004027,0.66868840030326,0.9815498154981549
arm_c,16000,22,sub0_0625,0.084336,0.060244,0.097187,,
arm_c,16000,22,sub0_125,0.147109,0.13104,0.211395,,
arm_c,16000,22,sub0_1875,0.209809,0.223524,0.36059,,
arm_c,16000,22,sub0_250,0.272537,0.299068,0.482457,,
arm_c,16000,22,sub0_375,0.39805,0.390826,0.630482,,
arm_c,16000,22,sub0_500,0.523442,0.476922,0.769372,0.2918877937831691,0.37023370233702335
arm_c,16000,22,sub0_625,0.648818,0.520329,0.839397,,
arm_c,16000,22,sub0_750,0.774199,0.550086,0.887402,,
arm_c,16000,22,sub0_875,0.899563,0.573614,0.925356,,
arm_c,16000,22,binary,1.022435,0.586944,0.94686,0.5974222896133434,0.8659286592865928
arm_c,16000,22,blend1_25,1.270131,0.603165,0.973029,0.6156178923426838,0.8954489544895449
arm_c,16000,22,blend1_50,1.506743,0.615042,0.992188,0.6269901440485216,0.9138991389913899
arm_c,16000,22,blend1_75,1.742752,0.622781,1.004672,0.6429112964366944,0.9397293972939729
arm_c,16000,22,uniform2,1.972694,0.624456,1.007375,0.66868840030326,0.9815498154981549
arm_c,16000,33,sub0_0625,0.084336,0.079132,0.126466,,
arm_c,16000,33,sub0_125,0.147109,0.155407,0.248367,,
arm_c,16000,33,sub0_1875,0.209809,0.236547,0.378042,,
arm_c,16000,33,sub0_250,0.272541,0.296507,0.473868,,
arm_c,16000,33,sub0_375,0.398064,0.399985,0.639242,,
arm_c,16000,33,sub0_500,0.523464,0.463593,0.740898,0.41243366186504926,0.5764411027568921
arm_c,16000,33,sub0_625,0.648834,0.512101,0.818422,,
arm_c,16000,33,sub0_750,0.774199,0.542593,0.867153,,
arm_c,16000,33,sub0_875,0.899574,0.562083,0.898301,,
arm_c,16000,33,binary,1.022459,0.577112,0.922321,0.5815011372251706,0.855889724310777
arm_c,16000,33,blend1_25,1.270055,0.596631,0.953515,0.5966641394996209,0.8809523809523809
arm_c,16000,33,blend1_50,1.506773,0.611625,0.977478,0.6269901440485216,0.931077694235589
arm_c,16000,33,blend1_75,1.742725,0.619493,0.990052,0.6474601971190296,0.9649122807017544
arm_c,16000,33,uniform2,1.972565,0.624437,0.997955,0.6565579984836998,0.9799498746867168
arm_d,32000,11,sub0_0625,0.084336,0.073717,0.113976,,
arm_d,32000,11,sub0_125,0.147109,0.151995,0.235004,,
arm_d,32000,11,sub0_1875,0.209804,0.230212,0.355938,,
arm_d,32000,11,sub0_250,0.272532,0.297759,0.460374,,
arm_d,32000,11,sub0_375,0.398055,0.403263,0.623497,,
arm_d,32000,11,sub0_500,0.523444,0.474812,0.734122,0.32221379833206976,0.40355029585798813
arm_d,32000,11,sub0_625,0.648802,0.520631,0.804964,,
arm_d,32000,11,sub0_750,0.774165,0.547575,0.846623,,
arm_d,32000,11,sub0_875,0.899541,0.56904,0.87981,,
arm_d,32000,11,binary,1.022421,0.583613,0.902343,0.576194086429113,0.8
arm_d,32000,11,blend1_25,1.270112,0.602556,0.931631,0.6171341925701289,0.8639053254437871
arm_d,32000,11,blend1_50,1.506621,0.618162,0.95576,0.6391205458680819,0.8982248520710059
arm_d,32000,11,blend1_75,1.742596,0.631627,0.976579,0.6489764973464746,0.9136094674556212
arm_d,32000,11,uniform2,1.972617,0.638708,0.987527,0.6595905989385898,0.9301775147928995
arm_d,32000,22,sub0_0625,0.084336,0.065476,0.101681,,
arm_d,32000,22,sub0_125,0.147109,0.135234,0.210011,,
arm_d,32000,22,sub0_1875,0.209809,0.211823,0.328948,,
arm_d,32000,22,sub0_250,0.272544,0.278338,0.432243,,
arm_d,32000,22,sub0_375,0.398068,0.395972,0.614921,,
arm_d,32000,22,sub0_500,0.523481,0.459382,0.713393,0.20318423047763456,0.2208883553421368
arm_d,32000,22,sub0_625,0.648864,0.507649,0.78835,,
arm_d,32000,22,sub0_750,0.774241,0.544811,0.846059,,
arm_d,32000,22,sub0_875,0.899624,0.568045,0.88214,,
arm_d,32000,22,binary,1.022511,0.585077,0.908591,0.6057619408642911,0.858343337334934
arm_d,32000,22,blend1_25,1.270129,0.604355,0.938527,0.624715693707354,0.8883553421368546
arm_d,32000,22,blend1_50,1.506938,0.620687,0.963891,0.6512509476876421,0.9303721488595438
arm_d,32000,22,blend1_75,1.7429,0.63197,0.981412,0.6709628506444276,0.9615846338535414
arm_d,32000,22,uniform2,1.973013,0.638575,0.991668,0.6800606520090978,0.9759903961584634
arm_d,32000,33,sub0_0625,0.084336,0.070438,0.108499,,
arm_d,32000,33,sub0_125,0.147109,0.142254,0.21912,,
arm_d,32000,33,sub0_1875,0.209807,0.213065,0.328192,,
arm_d,32000,33,sub0_250,0.272544,0.281848,0.434142,,
arm_d,32000,33,sub0_375,0.398053,0.387736,0.597246,,
arm_d,32000,33,sub0_500,0.523454,0.45797,0.705431,0.3555724033358605,0.471236230110159
arm_d,32000,33,sub0_625,0.648801,0.506803,0.780649,,
arm_d,32000,33,sub0_750,0.774158,0.542801,0.836099,,
arm_d,32000,33,sub0_875,0.899509,0.567789,0.874589,,
arm_d,32000,33,binary,1.022397,0.585378,0.901683,0.599696739954511,0.8653610771113831
arm_d,32000,33,blend1_25,1.270019,0.607621,0.935944,0.6125852918877938,0.8861689106487147
arm_d,32000,33,blend1_50,1.506645,0.62437,0.961742,0.6497346474601972,0.9461444308445532
arm_d,32000,33,blend1_75,1.742472,0.634294,0.977029,0.6565579984836998,0.9571603427172583
arm_d,32000,33,uniform2,1.972266,0.643449,0.99113,0.6702047005307051,0.9791921664626684
