run_id,study,dataset_key,seed,epochs,r_star_bits_per_value,bracketed,reference_bits_saved_per_token,raw_bits_saved_per_token,raw_retained_gain,overfit_bits_per_token,overfit_codec,distinct_rows,samples_seen,lzma_bits,zlib_bits,base_stream_bits
qwen25-kind-code__qwen25-7b-base__kind-code__all-linear-r16__s33__c104401224,qwen25_kind_code,kind_code,33,4,0.6288345214494019,True,0.08573686264386415,0.08463330168444916,0.9871285124579494,0.0011035609594149953,uniform2,,,,,
qwen25-kind-dialogue__qwen25-7b-base__kind-dialogue__all-linear-r16__s11__ad6ac4bccb,qwen25_kind_dialogue,kind_dialogue,11,4,1.2761045504486501,True,0.23448170341873498,0.23448170341873498,1.0,0.0,,,,,,
qwen25-kind-dialogue__qwen25-7b-base__kind-dialogue__all-linear-r16__s22__3d8a59f72e,qwen25_kind_dialogue,kind_dialogue,22,4,1.1044302234095575,True,0.22046833831796064,0.21854045005299927,0.9912554869344505,0.0019278882649613749,uniform2,,,,,
qwen25-kind-dialogue__qwen25-7b-base__kind-dialogue__all-linear-r16__s33__644ec952f8,qwen25_kind_dialogue,kind_dialogue,33,4,1.1469673104150024,True,0.21996261023605523,0.21996261023605523,1.0,0.0,,,,,,
qwen25-kind-instruct__qwen25-7b-base__kind-instruct__all-linear-r16__s11__a7e7fd6fe8,qwen25_kind_instruct,kind_instruct,11,4,0.7708760658238384,True,0.1766618394762136,0.17481895663648905,0.9895683026669,0.0018428828397245578,uniform2,,,,,
qwen25-kind-instruct__qwen25-7b-base__kind-instruct__all-linear-r16__s22__35d7d28ac7,qwen25_kind_instruct,kind_instruct,22,4,0.8304049477923078,True,0.18692985734224066,0.18576532859094996,0.9937702367730447,0.0011645287512906943,uniform2,,,,,
qwen25-kind-instruct__qwen25-7b-base__kind-instruct__all-linear-r16__s33__d67b3cd834,qwen25_kind_instruct,kind_instruct,33,4,0.7198061953815551,True,0.1802187046322543,0.17821458188172534,0.9888794964173198,0.0020041227505289694,uniform2,,,,,
qwen25-kind-summary__qwen25-7b-base__kind-summary__all-linear-r16__s11__a18f9bac28,qwen25_kind_summary,kind_summary,11,4,0.37795150936890665,True,0.5099102526621968,0.5061115216663012,0.9925501968707969,0.0037987309958955606,uniform2,,,,,
qwen25-kind-summary__qwen25-7b-base__kind-summary__all-linear-r16__s22__cd678956f3,qwen25_kind_summary,kind_summary,22,4,0.4090960564682578,True,0.4833352075294872,0.4815004011690085,0.996203863629432,0.0018348063604787246,uniform2,,,,,
qwen25-kind-summary__qwen25-7b-base__kind-summary__all-linear-r16__s33__86a0197a1e,qwen25_kind_summary,kind_summary,33,4,0.37563184831990365,True,0.48972419470325623,0.48198408778309165,0.9841949672818296,0.00774010692016458,uniform2,,,,,
qwen25-panel-math__qwen25-7b-base__panel-math__all-linear-r16__s11__b456af4c70,qwen25_panel_math,panel_math,11,4,0.38379248952896483,True,0.10149917270852868,0.0985014828295219,0.9704658688439252,0.002997689879006782,blend1_50,,,,,
qwen25-panel-math__qwen25-7b-base__panel-math__all-linear-r16__s22__df87eb47ab,qwen25_panel_math,panel_math,22,4,0.4381584736845666,True,0.08717244685450876,0.08394062603285077,0.9629261201414718,0.003231820821657988,blend1_50,,,,,
qwen25-panel-math__qwen25-7b-base__panel-math__all-linear-r16__s33__8c6fb050a1,qwen25_panel_math,panel_math,33,4,0.4123229024721599,True,0.08720639399085556,0.08470826610193127,0.9713538448891003,0.002498127888924284,blend1_50,,,,,
