run_id,study,model_key,dataset_key,seed,adapter_rank,training_epochs,label_span,available_rows,distinct_rows,measured_rows,row_sampling,row_sample_seed,r_star_bits_per_value,r_star_bracketed,reference_bits_saved_per_token,train_response_tokens,base_codelength_bits_per_token,fisher_effective_rank,fisher_logdet,fisher_trace,hidden_effective_rank,margin_deficit_bits,residual_effective_rank,surprisal_variance_bits2,surprise_weighted_hidden_logdet,unit_gain_ntk_cost,angular_correction_channel_bits,angular_correction_energy_rank90,angular_correction_logdet,angular_correction_rd90_bits,centered_angular_correction_logdet,centered_angular_correction_rd90_bits,centered_correction_rd90_bits,correction_channel_bits,correction_energy_rank90,correction_rd90_bits,dataset_centered_correction_log_volume,dataset_correction_log_volume,dataset_fisher_log_volume,dataset_raw_correction_log_volume,trace_normalized_correction_logdet,coherent_correction_energy,coherent_energy_over_entropy,correction_information_bits,coherent_fraction,correction_coverage_fraction,correction_intrinsic_dimension,correction_predictable_fraction,nearest_neighbour_cosine,prequential_correction_bits_per_row,prequential_decay_exponent,prequential_late_fraction,text_cross_row_redundancy,base_head_error_alignment,base_head_hidden_alignment,total_correction_channel_bits,within_between_energy_ratio,within_example_channel_bits,lora_correction_channel_bits,lora_correction_effective_rank,lora_layer_energy_centroid,lora_layer_energy_entropy
arm-b__mistral-7b-base__all-linear-r16__s55__02526a32bd,arm_b,mistral_7b_base,arm_b,55,16,4,all,8000,7993,256,uniform,271828,0.7300087765264255,True,0.596804867191018,49054.0,1.0036717695184052,82.31849664142906,325.23863405175314,1278.19665150317,25.306727364616034,0.7108319605467841,25.23954194587907,0.10048081932615024,0.8166905781813123,0.1298696527804469,1.7638734830253284,139,126.77114372448747,286.8455487594376,140.8057886570446,317.02884676749466,303.6450735291127,1.7582237756791819,132,274.37804367176,750.7419912021998,712.8821200602456,2502.460685939104,697.9791535333122,123.97963603400771,210.96981534436247,166.7009483443798,89.43240303874079,0.1683558879835133,0.08944506179123685,32.21761701378589,0.009051532573209564,0.4522292042783944,-0.5228279380951517,0.07512174793525539,0.1151443592653871,0.43636196290785256,0.0006352547761694673,0.1368387866028001,12.851224054614612,30.450987495443975,12.854191242083456,1.7506462272464498,77.00520592405815,0.28528215069731977,0.8826764553295516
arm-b__mistral-7b-base__all-linear-r16__s66__b019710efc,arm_b,mistral_7b_base,arm_b,66,16,4,all,8000,7988,256,uniform,271828,0.7431843360776968,True,0.5577754945706508,45432.0,0.9980125334113836,76.71404470782002,315.45752705334115,1261.298062520701,28.65086235019408,0.7114824251038954,24.631271650107006,0.12178767099590618,0.8123324805020591,0.14200854304264354,1.7598917574418,134,124.46130522563743,278.0417795264239,138.27808804673964,308.3647056312474,293.47265790891026,1.7515288811092529,126,263.9800704538968,740.0544423648245,702.1491062560676,2484.0927866856746,685.2124945952219,121.11114062206498,210.28183723144235,170.1743525958622,87.36322098592952,0.1693954279268871,0.08497743222120993,27.8275505508847,-0.003044025910223791,0.46657600363264384,-0.49808213175653476,0.08444211886030702,-0.023297221592497155,0.4301413588691291,0.0006532480882316099,0.13633701903484657,12.773811639205348,30.468734459792397,12.779689450859099,1.725867272126003,61.72091975504132,0.2713687138380802,0.8714808873891902
arm-c__mistral-7b-base__all-linear-r16__s11__fd119726f4,arm_c,mistral_7b_base,arm_c,11,16,2,all,16000,15975,256,uniform,271828,0.7887085001711691,True,0.6198644277689388,48997.0,1.0124079457018524,76.14529394017775,318.8103758709634,1283.9271477792347,28.30475132838394,0.7200778241385706,24.224872026036913,0.12076540418933476,0.8144941815275852,0.13965595389642643,1.760234385209641,135,124.5761695218786,279.00911987903606,138.01355358223412,308.40666091184545,294.6121515745923,1.7499421193387565,128,265.74694765953745,906.4009493051908,868.3877968416848,2668.427812799329,850.9130075741498,120.93681832048671,210.22189129777166,166.91324820246066,87.23747402592785,0.16539452665164806,0.08548636909754853,32.10693834330547,0.03476663130764257,0.4633579413823652,-0.2863122871229179,0.040145683646265445,-0.154536487161484,0.43775176531917914,0.0006308581854276191,0.13423091975335888,12.773703510044509,30.162321870014228,12.780036174465236,1.7400000575828054,69.81995285266702,0.2798505240819088,0.8785440752764994
arm-c__mistral-7b-base__all-linear-r16__s22__dcbb6c5d32,arm_c,mistral_7b_base,arm_c,22,16,2,all,16000,15969,256,uniform,271828,0.8377329888020615,True,0.6244556566414081,48183.0,1.0016424582572654,76.14399337914361,317.07540692709347,1270.6957103359368,26.058870041058363,0.7097888540010899,24.330750809982437,0.1684600106970737,0.819944524466261,0.13093427191420762,1.7591871779608057,135,124.68349669695931,279.6818330711601,138.74290046332013,310.51602776163645,295.47018239394623,1.7496892240615454,127,265.3678609457505,909.1273607968176,869.3161713302643,2665.5159446920325,850.6025253989671,121.01692827951112,214.98560410562888,169.64163329577715,87.29526114623303,0.17164805109685843,0.08424588450163238,28.374783254377803,0.009939571616049747,0.46633190449396816,-0.523979505723291,0.057416543941449454,-0.07972827615878259,0.4415128650959499,0.0006337853281693716,0.1361297406309808,12.737813673775754,30.637289258547426,12.743742395946049,1.6093951704674634,29.215568946368133,0.2316353533000089,0.8316727812012854
arm-c__mistral-7b-base__all-linear-r16__s33__5771a9524f,arm_c,mistral_7b_base,arm_c,33,16,2,all,16000,15969,256,uniform,271828,0.9082635268676633,True,0.6257171307947614,47217.0,0.9973644743440673,72.72517588379941,313.9257481790635,1264.3342564946659,26.538107026993227,0.7082174502429552,24.04126082864958,0.11478296862703635,0.8148757462773039,0.14063275974347678,1.7540825910271947,135,123.29618622299847,276.379518414463,137.62616420526516,307.79495331844043,294.40070058353615,1.742268170834175,127,263.1893973259446,905.3007287464023,864.5825272476307,2660.9577618332814,847.511875054174,119.65763497889432,220.35682991901896,174.3945265137074,86.31473829427631,0.17530820238369435,0.07882733772534294,28.045602717045412,-0.003375755319738216,0.473493721569087,-0.383729969940386,0.10835820504797622,0.182386809106648,0.4253221890936344,0.0006265929968654483,0.13231319827444907,12.63961768291841,30.658619254014052,12.644982046981143,1.7333599137369888,65.03677761946885,0.28079743199247037,0.8789699284531779
arm-c__mistral-7b-base__all-linear-r16__s44__73ff126571,arm_c,mistral_7b_base,arm_c,44,16,2,all,16000,15968,256,uniform,271828,0.7937577248949925,True,0.6314497938698758,50219.0,0.9933592750458047,70.87042553845642,315.7619342972847,1284.6516932621194,27.96949603951893,0.7025814396329224,24.195010988726626,0.109041277408559,0.81100513989718,0.1361531967829311,1.752747976731723,134,123.02124048158568,275.8459579515639,137.65461555689762,308.14261653076915,295.67150110853527,1.7367334521739823,127,263.0116380937509,905.9114389285357,864.1434538072622,2665.1347896557168,847.3531295917778,119.04987560160082,231.8137248247112,183.5817751957929,85.87633257443875,0.17844727364760152,0.0772673897778653,29.752748291109068,0.003914869988114522,0.4719662401290995,-0.2766912397038219,0.04726782498516654,-0.6246643290811307,0.4329492562575269,0.0006118937108932447,0.1357922670880568,12.680421847088827,30.086399498211854,12.690746608985105,1.737576547357976,66.67625383702993,0.28014448499914757,0.8785896708200585
arm-c__mistral-7b-base__all-linear-r16__s55__a47c4343b8,arm_c,mistral_7b_base,arm_c,55,16,2,all,16000,15976,256,uniform,271828,0.8271338024559165,True,0.6248808820967315,49054.0,0.992739625973627,68.06492100183603,311.6405705205493,1295.8996135381674,26.697250090676317,0.7076869084849022,24.125978385517566,0.17803726612568443,0.8158491893242659,0.14720884055249117,1.7536713826162986,133,122.72306069630977,274.5707237216942,136.90172637603214,305.980402182179,286.4907341861216,1.7352240576311757,123,255.62878973549024,903.195280873713,862.5991026161273,2657.0022887238733,837.7913730646958,117.04381986250604,223.69632892915337,181.7460298571093,84.42926924116931,0.1749417648609516,0.07844475226251565,30.457715372047,0.012111667891023137,0.47342841797797464,-0.041719615397146005,0.18172468869960698,-4.615069744292722,0.43310746030972225,0.0006378726403522044,0.1346219294193135,12.649019365764069,29.89014794364435,12.657265204326642,1.6867965374545375,44.80903544480195,0.27385779729263127,0.8725214289411279
arm-c__mistral-7b-base__all-linear-r16__s66__3853d9344b,arm_c,mistral_7b_base,arm_c,66,16,2,all,16000,15967,256,uniform,271828,0.874016829366871,True,0.586042524416517,45432.0,0.9905816486570984,76.48684237605728,323.7802219484687,1318.1856456814276,26.62217482257884,0.7076247842051089,24.72716770124504,0.12161427446865311,0.815026956734372,0.1302669365229316,1.7593891854981365,135,124.547168491553,279.4927968765252,138.45421421053237,309.979084144999,296.6492548399333,1.7502082085765276,128,266.77950573945833,908.345369547934,868.9983841277726,2677.0975055042686,852.4743106160009,121.13015930410523,221.1309127960809,178.4906298717601,87.37694006506138,0.17005422744934157,0.08443095407761779,27.283297364568753,0.016339916923784115,0.4688328571369943,-0.48747590368006,0.06607969113994533,0.16096724971353818,0.43906117737591377,0.0006239521168419683,0.13636343827356734,12.77417952860347,29.615750456941896,12.781818303178298,1.7176760544444987,51.852992144172305,0.25306836668383637,0.8579199843410188
arm-d__mistral-7b-base__all-linear-r16__s11__8a61309a47,arm_d,mistral_7b_base,arm_d,11,16,1,all,32000,31898,256,uniform,271828,1.00964329524513,True,0.6467754229088749,48997.0,0.9742654628353193,78.86825309276188,322.46271399309256,1280.2379150401086,25.100355181542305,0.6859848241438158,24.580542539069583,0.10763053049234006,0.8198751090203571,0.1369349489566214,1.7649894717549874,139,126.39530324440419,285.85644102853905,139.34985944678175,313.90610721664325,299.2756873844959,1.7529562435434818,131,271.45538079515137,1084.7305845899193,1048.3488354647352,2853.2832140666005,1028.8316821888293,122.43100903903796,202.60876855909643,161.563781917274,88.31530479582597,0.15897024388839562,0.09133265246748443,33.20418906986474,0.0035462188805013284,0.44624154117596826,-0.4551850941783114,0.04351016148635578,-0.14192523132280735,0.43058132814163597,0.0006102217216336318,0.1341888189165156,12.802304817330652,30.083769238148435,12.80814158514654,1.7384990837510088,69.90836555726807,0.2723800765219448,0.871957768457371
arm-d__mistral-7b-base__all-linear-r16__s22__439c047c9b,arm_d,mistral_7b_base,arm_d,22,16,1,all,32000,31899,256,uniform,271828,0.9826009415461521,True,0.6439395601283299,48183.0,1.0017796168103814,74.83953188225898,320.70392929930205,1295.3943844243431,28.033602099997413,0.7107626357465051,24.326404715764742,0.10605659768480241,0.8112769571424947,0.12882349754945704,1.7583055751162662,136,124.41061413229684,279.25273267723566,138.26602566633835,309.5991044798603,297.2928388095846,1.7456691077025424,129,266.9299725336376,1078.9797213172467,1039.434202814783,2849.968787640652,1022.729098040733,120.72316163505664,220.5291568116072,172.75120532619698,87.08335330566649,0.16965186311859412,0.08327122819808824,28.410017399479706,0.013004054011925836,0.4670470024858753,-0.5938784152756995,0.034582607439649964,0.19073014112376172,0.4362418253625622,0.0006456438003064828,0.13093691446161693,12.759528278058896,30.088127501002397,12.767141313175937,1.7344248203857864,64.89750998881415,0.26787202480116123,0.8688685846989539
arm-d__mistral-7b-base__all-linear-r16__s33__4b39e5262b,arm_d,mistral_7b_base,arm_d,33,16,1,all,32000,31894,256,uniform,271828,1.0147652695361888,True,0.6492067701947671,47217.0,0.9991991927381605,74.59010429840963,322.84692775774135,1312.4585335712804,28.471004237433473,0.7047901640762575,24.2136437513833,0.11201668863785735,0.8117511630774469,0.1426835221062479,1.7577427195561393,137,124.92697609447026,281.6283907387751,138.85898575117096,312.0505734913411,297.3038164986888,1.7445447391244646,129,267.00779132477396,1082.2452135916499,1042.6427929833135,2853.419451415979,1022.8079348393516,120.69681476682612,222.30167797069618,173.76629809081513,87.06434805759693,0.1697766271297051,0.08240352216006919,33.32890286098955,0.010959499140233864,0.4550238096023567,-0.3763311943864103,0.1171549994396374,-0.11297186217552863,0.4249215668002361,0.0006044885525634115,0.13044663998586345,12.708186727495368,30.015106633200457,12.714619980389603,1.7354976996603264,67.47903796228852,0.2715387775668903,0.8710516084263258
arm-d__mistral-7b-base__all-linear-r16__s44__df7aba93a9,arm_d,mistral_7b_base,arm_d,44,16,1,all,32000,31896,256,uniform,271828,0.9712307844543292,True,0.6548780319182448,50219.0,0.9693175858119503,80.67813780891254,315.06519963996425,1225.8743084181665,25.81087323521858,0.6861800921033137,24.449472634235402,0.11482035323316424,0.8182476166290452,0.1316189267372568,1.7647525428519124,138,125.62859788002079,283.93511629446635,138.99631756638195,313.1447744770072,299.053764962006,1.7594007341585995,130,270.839585800087,1083.6676120135999,1045.7432886041647,2841.4031910828053,1028.0857755839463,122.57396581520382,196.12511939998177,160.08054858244637,88.41842631184394,0.16404021544500894,0.09123304443570782,30.95088131853939,0.0075661069389512114,0.45103171174023776,-0.5510386263262281,0.12769249831159607,0.127479556398383,0.420405055580935,0.0006099740301702562,0.13148071835400127,12.786260396411466,30.39610804418598,12.78907432917906,1.7392201042145894,65.50590447858117,0.25092359466194103,0.854163682421368
arm-d__mistral-7b-base__all-linear-r16__s55__b76124a488,arm_d,mistral_7b_base,arm_d,55,16,1,all,32000,31896,256,uniform,271828,0.9648394287771986,True,0.6475966771673071,49054.0,0.9733560481108725,76.9357492269354,319.62341494054385,1266.5394744443365,28.33524424296424,0.6837408595019951,24.680350470707836,0.10658770928555293,0.8139320727121582,0.1393573174394741,1.760411452668127,137,125.5190017692635,282.59268579955057,139.31710608469402,312.5403264923667,300.86239662569665,1.7484931226620477,131,270.7019194364583,1082.931644300151,1043.9807816962698,2849.716241268196,1027.9508265095337,121.76340936972039,213.33951615051936,168.05677394441406,87.83373342971417,0.16752782788061965,0.08534439367400701,38.70578561101314,0.017097309424176976,0.45139946089739547,-0.06931128786337144,0.13382557091671318,-2.6742564969563536,0.4209971964498691,0.0006208823308331555,0.13900466461351527,12.80956229452038,30.102471653387777,12.818462378361813,1.7278247555375184,63.412593570539954,0.2653843703723001,0.8661204481263683
arm-d__mistral-7b-base__all-linear-r16__s66__1cee1e5947,arm_d,mistral_7b_base,arm_d,66,16,1,all,32000,31899,256,uniform,271828,0.9912271526903608,True,0.6086415430337209,45432.0,0.968700424011331,76.37152588807892,316.58103174924173,1260.210716462144,26.69067435144744,0.6807952551171184,24.236575283181953,0.1147623269715112,0.8151713792859934,0.1399202747695697,1.7588307698425023,137,124.55459914493989,280.70406118001796,138.7249881962444,311.6718037516651,297.38026391209075,1.75013990290112,129,266.95727459727874,1081.7531348130833,1041.3773934699377,2842.8268571817257,1022.7056736875431,121.10868062930426,214.52081236847343,170.10026043593822,87.36144647625126,0.1725192790803641,0.08388617585807719,30.93344331952765,0.010297726156101916,0.4630672895305569,-0.5778063036193133,0.09609460709308172,-0.022779447338927096,0.4353662578720583,0.0006441097551179788,0.13355447118250746,12.784590630937593,30.105468053340168,12.791442807394533,1.7487764441998888,74.11353697349283,0.2846304885237855,0.8817194752288907
arm-e__mistral-7b-base__all-linear-r16__s11__dceded8f32,arm_e,mistral_7b_base,arm_e,11,16,16,all,2000,1999,256,uniform,271828,0.6860225845135847,True,0.5544326670794542,48997.0,1.0032097572693601,71.8680766262057,321.4372925806697,1341.746428962348,29.05248705293671,0.7098821326508187,24.153601645201977,0.18857851695505867,0.8143161071004625,0.1298159304555512,1.7530344739837909,135,123.4128102982315,276.7387939806975,138.28540565297757,309.4850058808079,291.9349793809298,1.7412762995588582,125,260.0084524028226,439.03220040086285,405.1660497578239,2140.3220630166275,390.71447575874924,119.05278868047469,237.97165192260246,189.40912750615644,85.87843391666128,0.18091976194880452,0.07740458909032435,32.13521443300626,0.016568227276210767,0.4688750761507903,-0.3302926490026362,0.07324686801436821,-0.32549016221834753,0.44141526887968074,0.0006329236502356594,0.13680355610043463,12.780433963140837,29.10885007607633,12.790568854288829,1.7290252799553036,60.48405299536645,0.2746163666503899,0.8740918937915924
arm-e__mistral-7b-base__all-linear-r16__s22__b45a0186dc,arm_e,mistral_7b_base,arm_e,22,16,16,all,2000,2000,256,uniform,271828,0.774296199042998,True,0.5513786162358489,48183.0,1.0339378260541707,73.42889419346128,321.5906964101182,1321.7328702483687,27.150156240065122,0.7376587005564943,24.44254185777809,0.1398671049590697,0.8176825284616948,0.1418655671037419,1.757282817793747,135,124.44466038515506,278.55189740106204,138.62867688613397,309.5723809462679,293.7232345677965,1.7435690930005263,126,263.12654059302474,439.6057121970245,407.4940617679361,2140.725043204652,393.81577236130386,119.97711679916273,226.32680533439375,178.30086394340515,86.54519571315402,0.17268540382824052,0.0818818496352521,32.69973281199038,0.009085376903615217,0.46402150108859597,-0.1617919723432173,0.09288259527875327,-1.359938015871136,0.4394878943742089,0.0006268822106027957,0.13540545134615842,12.737972410089643,29.671455184362127,12.746224019367567,1.7436628625885224,68.21266102218723,0.2770283656405883,0.8761090630219177
