run_id,study,model_key,dataset_key,seed,adapter_rank,training_epochs,label_span,available_rows,distinct_rows,measured_rows,row_sampling,row_sample_seed,r_star_bits_per_value,r_star_bracketed,reference_bits_saved_per_token,train_response_tokens,base_codelength_bits_per_token,fisher_effective_rank,fisher_logdet,fisher_trace,hidden_effective_rank,margin_deficit_bits,residual_effective_rank,surprisal_variance_bits2,surprise_weighted_hidden_logdet,unit_gain_ntk_cost,angular_correction_channel_bits,angular_correction_energy_rank90,angular_correction_logdet,angular_correction_rd90_bits,centered_angular_correction_logdet,centered_angular_correction_rd90_bits,centered_correction_rd90_bits,correction_channel_bits,correction_energy_rank90,correction_information_bits,correction_rd90_bits,dataset_centered_correction_log_volume,dataset_correction_log_volume,dataset_fisher_log_volume,dataset_raw_correction_log_volume,trace_normalized_correction_logdet,coherent_correction_energy,coherent_energy_over_entropy,correction_channel_deficit_bits,angular_correction_channel_deficit_bits,coherent_fraction,correction_coverage_fraction,correction_intrinsic_dimension,correction_predictable_fraction,nearest_neighbour_cosine,prequential_correction_bits_per_row,prequential_decay_exponent,prequential_late_fraction,text_cross_row_redundancy,tokenizer_fertility,base_head_error_alignment,base_head_hidden_alignment,total_correction_channel_bits,within_between_energy_ratio,within_example_channel_bits,lora_correction_channel_bits,lora_correction_effective_rank,lora_layer_energy_centroid,lora_layer_energy_entropy,achieved_validation_nll_gain_bits_per_token,trainable_parameter_count,codec_count,ceiling_heldout_bits_saved,shape_r90_over_r50,adapter_bits_at_r90,heldout_tokens,train_tokens,corpus_rows,r50,r75,r90,r95
transposed-code__mistral-7b-base__kind-code__all-linear-r16__s22__70ff5722b9,transposed_code,mistral_7b_base,kind_code,22,16,4,all,8000,8000,256,uniform,271828,0.8634228290197895,True,0.16505921007338253,103839.0,1.653997805146944,123.68899306618056,443.05852537320055,1875.4990158874782,32.760547515673075,1.3047188808993688,28.22213362052055,0.4487340003551219,0.8796159263157477,0.08602187881068171,1.7592992644187184,171,142.09550554607014,339.8400988055506,156.053219893424,365.070637733833,349.85625583591656,1.7650134225800582,160,101.30695484154593,327.3521330706722,809.656776550298,777.0196529994032,2643.8847649559857,762.0189326302594,140.44126023906253,256.3591052008367,189.41426260172884,0.0437534925307681,0.04946765069210812,0.1485758644059987,0.12796300997272725,46.07606874465826,-0.0670589375279198,0.33823184780790694,-1.7231358442615234,0.031426479401940495,0.34149750016657493,0.23248314743803933,0.2813931726761214,0.0007852449903124109,0.1392829137125457,13.579761910145606,30.711011148116253,13.585025552384117,0.45322077130131105,32.636041359103686,0.27680231892883156,0.8751914467559917,0.15890864793998305,41943040,13,16732.54730276903,2.872962379346063,36214578.25449018,101373,103343,8000,0.3005339837468807,0.5645206194594055,0.8634228290197893,1.062096204110238
transposed-code__mistral-7b-base__kind-code__all-linear-r16__s33__ac3172c836,transposed_code,mistral_7b_base,kind_code,33,16,4,all,8000,8000,256,uniform,271828,0.920620902020152,True,0.16213130535241116,103839.0,1.653997805146944,123.68899306618056,443.05852537320055,1875.4990158874782,32.760547515673075,1.3047188808993688,28.22213362052055,0.4487340003551219,0.8796159263157477,0.08602187881068171,1.7592992644187184,171,142.09550554607014,339.8400988055506,156.053219893424,365.070637733833,349.85625583591656,1.7650134225800582,160,101.30695484154593,327.3521330706722,809.656776550298,777.0196529994032,2643.8847649559857,762.0189326302594,140.44126023906253,256.3591052008367,189.41426260172884,0.0437534925307681,0.04946765069210812,0.1485758644059987,0.12796300997272725,46.07606874465826,-0.0670589375279198,0.33823184780790694,-1.7231358442615234,0.031426479401940495,0.34149750016657493,0.23248314743803933,0.2813931726761214,0.0007852449903124109,0.1392829137125457,13.579761910145606,30.711011148116253,13.585025552384117,0.45322077130131105,32.636041359103686,0.27680231892883156,0.8751914467559917,0.15553567933205148,41943040,13,17246.717606862745,2.928922426414135,38613639.31826723,106375,109465,8000,0.31432068453491324,0.6301027813378685,0.92062090202015,1.1100896256583068
transposed-code__qwen25-7b-base__kind-code__all-linear-r16__s11__7d8372873a,transposed_code,qwen25_7b_base,kind_code,11,16,4,all,8000,8000,256,uniform,271828,0.6717812212120889,True,0.08897893436977666,88571.0,1.9502548740969763,80.16265364578867,317.0309522861222,1516.879607469555,25.019697114608288,1.5620796287816667,28.66977777479423,0.4444515143707232,0.7531741620397866,0.15954815412193088,1.7683405268729848,112,116.76758442126814,239.84245442802694,120.06910373616896,249.54725772302032,230.62043713724924,1.7672474421690603,102,82.22821432878328,223.46875868597672,665.7167654187532,654.3141401576034,2442.3954197731646,634.0892295832555,113.99250984895005,90.79104294512649,64.79329382760639,0.041519472941766056,0.04042638823784217,0.06848745098643784,0.1714324963239251,37.16117825969428,-0.007437755068800955,0.3877580075634409,-0.49760754590082673,0.08512036982800217,0.22257280614809954,0.23248314743803933,0.23414877198099335,0.00025186997611266183,0.07269847507929734,12.76341255198934,30.809523158046712,12.76232259800642,0.45599493568196947,43.005021355738045,0.6038573229350347,0.953369308690445,0.0883436720247679,40370176,13,7935.942177505989,1.913217700926579,27119926.133826856,89189,88571,8000,0.3511263882237447,0.4948231064242694,0.6717812212120863,0.8695754828758991
transposed-code__qwen25-7b-base__kind-code__all-linear-r16__s22__cda98db154,transposed_code,qwen25_7b_base,kind_code,22,16,4,all,8000,8000,256,uniform,271828,0.7073508895631527,True,0.09295908227732697,88571.0,1.9502548740969763,80.16265364578867,317.0309522861222,1516.879607469555,25.019697114608288,1.5620796287816667,28.66977777479423,0.4444515143707232,0.7531741620397866,0.15954815412193088,1.7683405268729848,112,116.76758442126814,239.84245442802694,120.06910373616896,249.54725772302032,230.62043713724924,1.7672474421690603,102,82.22821432878328,223.46875868597672,665.7167654187532,654.3141401576034,2442.3954197731646,634.0892295832555,113.99250984895005,90.79104294512649,64.79329382760639,0.041519472941766056,0.04042638823784217,0.06848745098643784,0.1714324963239251,37.16117825969428,-0.007437755068800955,0.3877580075634409,-0.49760754590082673,0.08512036982800217,0.22257280614809954,0.23248314743803933,0.23414877198099335,0.00025186997611266183,0.07269847507929734,12.76341255198934,30.809523158046712,12.76232259800642,0.45599493568196947,43.005021355738045,0.6038573229350347,0.953369308690445,0.09190850853423083,40370176,13,7965.570801261856,1.8898063020415428,28555879.905421123,85689,89310,8000,0.37429809012649035,0.5290671515941805,0.7073508895631548,0.8651720884773666
transposed-code__qwen25-7b-base__kind-code__all-linear-r16__s33__ab2d656648,transposed_code,qwen25_7b_base,kind_code,33,16,4,all,8000,8000,256,uniform,271828,0.631929867968186,True,0.0858320537915307,88571.0,1.9502548740969763,80.16265364578867,317.0309522861222,1516.879607469555,25.019697114608288,1.5620796287816667,28.66977777479423,0.4444515143707232,0.7531741620397866,0.15954815412193088,1.7683405268729848,112,116.76758442126814,239.84245442802694,120.06910373616896,249.54725772302032,230.62043713724924,1.7672474421690603,102,82.22821432878328,223.46875868597672,665.7167654187532,654.3141401576034,2442.3954197731646,634.0892295832555,113.99250984895005,90.79104294512649,64.79329382760639,0.041519472941766056,0.04042638823784217,0.06848745098643784,0.1714324963239251,37.16117825969428,-0.007437755068800955,0.3877580075634409,-0.49760754590082673,0.08512036982800217,0.22257280614809954,0.23248314743803933,0.23414877198099335,0.00025186997611266183,0.07269847507929734,12.76341255198934,30.809523158046712,12.76232259800642,0.45599493568196947,43.005021355738045,0.6038573229350347,0.953369308690445,0.08489266771658555,40370176,13,7826.252496765548,1.8056462307656636,25511119.98953226,91181,94024,8000,0.3499743511220463,0.475472947886444,0.6319298679681817,0.8295421521133592
transposed-code__qwen25-math-7b-base__kind-code__all-linear-r16__s11__6642a6f411,transposed_code,qwen25_math_7b_base,kind_code,11,16,4,all,8000,8000,256,uniform,271828,1.3246629868972974,True,0.204611879593249,88571.0,2.2252763996994687,79.89828432942218,229.779130643892,835.9765170706075,17.818986301196098,1.8126709047291014,28.774786061260023,0.6012681275793818,0.7684984784287604,0.18992319100453778,1.7690591492831136,103,116.16026357056656,229.39103239435116,119.25547111776478,238.49925818170826,220.04721136155467,1.7686613080135765,94,81.96178238468259,213.38129031146798,653.044809126969,642.284094001103,2275.0620420037203,621.6886627378806,113.62315674722106,48.49366525588569,32.29539823103093,0.04010560709724942,0.03970776582771318,0.0662994820598471,0.17414240278533286,37.58198490410835,-0.015438308568232584,0.3861086063287905,-0.7602965082829053,0.1156072952463406,0.22863093740891252,0.23248314743803933,0.23414877198099335,0.0003365781698992508,0.08039182160251601,12.763935278366473,30.958525737782306,12.761739057658964,0.4558058932059071,42.11676265927769,0.5547240288870585,0.9635414774013107,0.204611879593249,40370176,13,17780.93373372496,3.1123632089602595,47622746.8351919,89189,88571,8000,0.3790212205217991,0.6493950347451884,1.1796517021672608,1.4856062449419423
transposed-code__qwen25-math-7b-base__kind-code__all-linear-r16__s22__048f1a041d,transposed_code,qwen25_math_7b_base,kind_code,22,16,4,all,8000,8000,256,uniform,271828,1.28600032297101,True,0.20108101563130498,88571.0,2.2252763996994687,79.89828432942218,229.779130643892,835.9765170706075,17.818986301196098,1.8126709047291014,28.774786061260023,0.6012681275793818,0.7684984784287604,0.18992319100453778,1.7690591492831136,103,116.16026357056656,229.39103239435116,119.25547111776478,238.49925818170826,220.04721136155467,1.7686613080135765,94,81.96178238468259,213.38129031146798,653.044809126969,642.284094001103,2275.0620420037203,621.6886627378806,113.62315674722106,48.49366525588569,32.29539823103093,0.04010560709724942,0.03970776582771318,0.0662994820598471,0.17414240278533286,37.58198490410835,-0.015438308568232584,0.3861086063287905,-0.7602965082829053,0.1156072952463406,0.22863093740891252,0.23248314743803933,0.23414877198099335,0.0003365781698992508,0.08039182160251601,12.763935278366473,30.958525737782306,12.761739057658964,0.4558058932059071,42.11676265927769,0.5547240288870585,0.9635414774013107,0.20108101563130498,40370176,13,16833.450671154496,3.0163758546531656,46268425.201244615,85689,89310,8000,0.37996064789396583,0.6338032589530582,1.1461041240257317,1.4756663371748018
transposed-code__qwen25-math-7b-base__kind-code__all-linear-r16__s33__3dc600b4a6,transposed_code,qwen25_math_7b_base,kind_code,33,16,4,all,8000,8000,256,uniform,271828,1.2328220041804148,True,0.1970458717547161,88571.0,2.2252763996994687,79.89828432942218,229.779130643892,835.9765170706075,17.818986301196098,1.8126709047291014,28.774786061260023,0.6012681275793818,0.7684984784287604,0.18992319100453778,1.7690591492831136,103,116.16026357056656,229.39103239435116,119.25547111776478,238.49925818170826,220.04721136155467,1.7686613080135765,94,81.96178238468259,213.38129031146798,653.044809126969,642.284094001103,2275.0620420037203,621.6886627378806,113.62315674722106,48.49366525588569,32.29539823103093,0.04010560709724942,0.03970776582771318,0.0662994820598471,0.17414240278533286,37.58198490410835,-0.015438308568232584,0.3861086063287905,-0.7602965082829053,0.1156072952463406,0.22863093740891252,0.23248314743803933,0.23414877198099335,0.0003365781698992508,0.08039182160251601,12.763935278366473,30.958525737782306,12.761739057658964,0.4558058932059071,42.11676265927769,0.5547240288870585,0.9635414774013107,0.1970458717547161,40370176,13,17658.934495014866,3.1162075127456137,45520638.559101544,91181,94024,8000,0.36184396413733555,0.6215668777809243,1.1275808794864195,1.4629017121249634
transposed-code__qwen3-8b-base__kind-code__all-linear-r16__s11__5cd6f517a0,transposed_code,qwen3_8b_base,kind_code,11,16,4,all,8000,8000,256,uniform,271828,0.9042825079278738,True,0.11768938358911885,88571.0,1.7919391750816316,35.451573428808196,158.60569857828338,1057.1253486946023,14.678538742776517,1.3616789545095156,28.356609125357576,0.427445995984332,0.7015128419142419,0.5488985555661919,1.7207902990793407,30,79.27663259695481,75.20801389608299,83.02963505723064,82.49028311838828,76.6908330383235,1.7223758993632057,29,56.20487480276639,71.36512723207768,421.0983834357046,403.14261678111063,2010.2954681952424,390.1756275354533,77.91650100652447,112.3331958792941,72.576650314442,0.08639101574762087,0.08797661603148677,0.11976009935055308,0.08147889803790698,22.891599780844427,0.0027243294707320898,0.5317249519287222,-0.08002447581165598,0.030415244724816215,0.27840713540668577,0.23248314743803933,0.23414877198099335,0.00022106950180354417,0.05883578929280917,11.323430861564166,30.50251723124577,11.325452869125842,0.44963360911722766,24.945264189695685,0.5584568661617149,0.8923076804690365,0.11768938358911885,43646976,13,10411.509808316521,3.606205192329224,37948636.53060808,89189,88571,8000,0.24109687565735186,0.4871818692968609,0.8694448048498956,1.221072393511876
transposed-code__qwen3-8b-base__kind-code__all-linear-r16__s22__72ea02da2b,transposed_code,qwen3_8b_base,kind_code,22,16,4,all,8000,8000,256,uniform,271828,0.8567905104357121,True,0.11906481478321407,88571.0,1.7919391750816316,35.451573428808196,158.60569857828338,1057.1253486946023,14.678538742776517,1.3616789545095156,28.356609125357576,0.427445995984332,0.7015128419142419,0.5488985555661919,1.7207902990793407,30,79.27663259695481,75.20801389608299,83.02963505723064,82.49028311838828,76.6908330383235,1.7223758993632057,29,56.20487480276639,71.36512723207768,421.0983834357046,403.14261678111063,2010.2954681952424,390.1756275354533,77.91650100652447,112.3331958792941,72.576650314442,0.08639101574762087,0.08797661603148677,0.11976009935055308,0.08147889803790698,22.891599780844427,0.0027243294707320898,0.5317249519287222,-0.08002447581165598,0.030415244724816215,0.27840713540668577,0.23248314743803933,0.23414877198099335,0.00022106950180354417,0.05883578929280917,11.323430861564166,30.50251723124577,11.325452869125842,0.44963360911722766,24.945264189695685,0.5584568661617149,0.8923076804690365,0.11906481478321407,43646976,13,10153.646232759405,3.725230043422958,36501771.12187185,85689,89310,8000,0.2244950042603213,0.46661492805739924,0.8362955344689138,1.221448246718253
