model_key,dataset_key,task_family,seeds,r_star_bits_per_value,reference_bits_saved_per_token,dataset_fisher_log_volume,correction_channel_bits,base_codelength_bits_per_token,base_head_hidden_alignment,text_cross_row_redundancy,train_response_tokens,adapter_bits_at_r90,ceiling_heldout_bits_saved,corpus_rows,heldout_tokens,r50,r75,r90,r95,shape_r90_over_r50,train_tokens,achieved_validation_nll_gain_bits_per_token,trainable_parameter_count,corpus_tokens,log_corpus_tokens,tokenizer_fertility_relative,receivers_sharing_corpus
mistral_7b_base,panel_math,metamath,3,0.7462146828746862,0.5929319633387791,2484.317411587397,1.7423322036194782,1.001876107267305,0.13860621485706925,0.4266205219343373,48997.0,31298512.29240027,29412.448964216044,8000.0,49604.0,0.26232361312285274,0.47128183576027943,0.746214682874686,0.9523921579494905,2.8460155637199662,48132.333333333336,0.5820655837068301,41943040.0,46076.166666666664,15.491733075473919,1.063391413492876,6
qwen25_7b_base,panel_math,metamath,3,0.41428446339595143,0.09197086919837406,2072.4151858025907,1.7852477853247724,0.41654060840664897,0.06755120102159938,0.4266205219343373,45878.0,16724736.701360092,4278.252111861158,8000.0,46559.0,0.1339670257847859,0.24316791947848757,0.4142844633959508,0.5652871074453922,3.090943160293799,45162.666666666664,0.089052172654753,40370176.0,46076.166666666664,15.491733075473919,0.9956991503199413,6
qwen25_math_7b_base,panel_math,metamath,3,1.0320224517203425,0.3927770266749484,2040.9924526249044,1.765994616425005,0.8704247443238273,0.11977279258902222,0.4266205219343373,45878.0,40944311.359242104,18233.62972228043,8000.0,46559.0,0.337017126169125,0.6345460851964108,1.0142217700324638,1.3311193958176635,3.0075812614793613,45162.666666666664,0.3921750917870925,40370176.0,46076.166666666664,15.491733075473919,0.9956991503199413,6
gemma2_9b_base,xbrl_tags,xbrl,3,0.3357431425618939,1.3822147856309124,1662.8341442586768,1.564892582376867,1.3286513736238703,0.05235634282573918,0.917047740991403,2793.0,18132256.202330578,3845.671656485294,8000.0,2782.0,0.11693998901465547,0.2152560690494858,0.33567033378049094,0.4466084297001311,2.874165892405076,2773.0,1.3822147856309124,54018048.0,2945.5714285714284,11.524331822689383,0.948203113633057,7
gemma2_9b_instruct,xbrl_tags,xbrl,3,0.28294291609034244,2.191433309792932,1543.2706232570445,1.5746316299040748,2.1853033814113587,0.0638332521260735,0.917047740991403,2793.0,15276675.010133192,6097.25050057349,8000.0,2782.0,0.0935735424637167,0.16113262818261914,0.28280686873641186,0.4624376136022848,3.0137702147468004,2773.0,2.191433309792932,54018048.0,2945.5714285714284,11.524331822689383,0.948203113633057,7
llama31_8b_base,xbrl_tags,xbrl,3,0.37520121288353053,1.0382634391812184,1329.1818429755745,1.5417028392607939,0.9498679076787084,0.09307838135157827,0.917047740991403,2861.0,15700618.31238651,2972.436315473391,8000.0,2867.6666666666665,0.11844327984261054,0.21540304665466517,0.3743319109055164,0.502034848161736,3.159386972618261,2852.0,1.0382634391812184,41943040.0,2945.5714285714284,11.524331822689383,0.9712886172947282,7
mistral_7b_base,xbrl_tags,xbrl,3,0.36943164739792195,1.747493124279148,1858.2022598197345,1.39705047364105,1.7432780088856816,0.1894215651328884,0.917047740991403,3589.0,15488327.669443272,6286.198951766392,8000.0,3598.3333333333335,0.1232428318486097,0.21041710568097663,0.369270507560808,0.4646298245961829,2.9875359953103544,3578.0,1.7474136220356655,41943040.0,2945.5714285714284,11.524331822689383,1.2184393035549737,7
qwen25_7b_base,xbrl_tags,xbrl,3,0.4757406841418252,0.7009649898312617,1385.015088449188,1.5958384377432262,0.64010652989964,0.030502499177830166,0.917047740991403,2861.0,19161176.94032894,2005.7893424748356,8000.0,2867.6666666666665,0.16692134978079112,0.29419478595967385,0.4746369433794131,0.6117251465501061,2.84474262239911,2852.0,0.7009649898312617,40370176.0,2945.5714285714284,11.524331822689383,0.9712886172947282,7
qwen25_math_7b_base,xbrl_tags,xbrl,3,0.6166606409204883,1.6012999127089307,1640.0589712602894,1.5001552471487487,1.5291278172517195,0.030326307770858225,0.917047740991403,2861.0,24866503.400665704,4587.631557367179,8000.0,2867.6666666666665,0.19889832053152887,0.3932204616261204,0.6159622242089235,0.742767940531946,3.0988947400853184,2852.0,1.6012999127089307,40370176.0,2945.5714285714284,11.524331822689383,0.9712886172947282,7
qwen3_8b_base,xbrl_tags,xbrl,3,0.5334669160851582,0.6931388796287399,1059.331418898802,1.570401563963556,0.6042987438850105,0.05922770843271457,0.917047740991403,2861.0,23179776.55383994,1983.4142449100764,8000.0,2867.6666666666665,0.16591261724391346,0.31800271897074417,0.5310740554818721,0.698392367512383,3.2012359513867783,2852.0,0.6931388796287399,43646976.0,2945.5714285714284,11.524331822689383,0.9712886172947282,7
