run_id,study,model_key,dataset_key,seed,adapter_rank,training_epochs,label_span,available_rows,distinct_rows,row_sampling,r_star_bits_per_value,r_star_bracketed,reference_bits_saved_per_token,base_codelength_bits_per_token,fisher_effective_rank,fisher_logdet,fisher_trace,hidden_effective_rank,margin_deficit_bits,residual_effective_rank,surprisal_variance_bits2,surprise_weighted_hidden_logdet,unit_gain_ntk_cost,angular_correction_energy_rank90,angular_correction_logdet,angular_correction_rd90_bits,centered_angular_correction_logdet,centered_angular_correction_rd90_bits,centered_correction_rd90_bits,correction_energy_rank90,correction_rd90_bits,dataset_centered_correction_log_volume,dataset_correction_log_volume,dataset_raw_correction_log_volume,trace_normalized_correction_logdet,dataset_fisher_log_volume
mistral-kind-summary__mistral-7b-base__kind-summary__all-linear-r16__s22__31f041163c,mistral_kind_summary,mistral_7b_base,kind_summary,22,16,4,all,8000,8000,uniform,0.7329383198921489,True,0.6086508578095,2.1174517209465438,93.36379552792498,485.015607668935,2794.7060997236204,43.95361238622928,1.496570135827537,28.023205540762138,0.4798535328430301,0.9095712058163605,0.1454939306947775,164,135.03272500176735,323.5232446737371,142.51897622267103,336.19434133578295,300.0736767077136,148,289.2513197732688,758.8097473582725,742.4654351548033,697.829770740144,119.7912343757393,2447.2585070493433
mistral-kind-summary__mistral-7b-base__kind-summary__all-linear-r16__s33__b698db1946,mistral_kind_summary,mistral_7b_base,kind_summary,33,16,4,all,8000,8000,uniform,0.5930600841511173,True,0.596471477900645,2.149928087658352,144.15961870279887,492.5135544400301,2397.689270382726,45.22671610804356,1.5147654101583692,27.675856673934444,0.27271902876968873,0.9129969025494818,0.09887681153832646,167,137.32183877924334,329.0206924538146,144.57426269092406,341.2387359348543,333.3008514876002,161,321.5574116697727,766.8175243978858,751.0658870639767,741.569118197221,135.3328241703244,2482.201409952049
mistral-panel-math__mistral-7b-base__panel-math__all-linear-r16__s11__a40ac04e3d,mistral_panel_math,mistral_7b_base,panel_math,11,16,4,all,8000,7990,uniform,0.6991132880995973,True,0.5915728380550018,1.001876107267305,75.65697854030641,318.8856820320728,1288.6676727039799,28.46976700419244,0.7049456498786515,24.3096327283847,0.11781454706567833,0.8140454315051453,0.14714990876899026,136,123.86605713486315,278.76741080154056,137.79808454445646,309.3621610466857,295.0556975952577,128,264.96148836400454,740.6084354234011,702.3412011266969,685.7910957264774,120.44017308901311,2484.317411587397
mistral-panel-math__mistral-7b-base__panel-math__all-linear-r16__s22__4d40f6fb72,mistral_panel_math,mistral_7b_base,panel_math,22,16,4,all,8000,7996,uniform,0.7481725636701402,True,0.5916684765974757,1.0173874270403758,75.75052424580899,317.21637994449526,1275.657941211036,25.827423239987812,0.7227341146208346,24.996810193286862,0.13165820032590012,0.8206689142446218,0.13704117360227747,135,124.68769625771935,279.1305997825207,138.6552742185895,309.6847355575526,294.09354658588927,127,264.17393517925495,741.9509489390803,703.6801159376739,685.6270792306544,120.91717248884702,2487.580337564016
mistral-panel-math__mistral-7b-base__panel-math__all-linear-r16__s33__5def8675b7,mistral_panel_math,mistral_7b_base,panel_math,33,16,4,all,8000,7993,uniform,0.762978618630809,True,0.6040220769666533,0.9656056509702466,81.20137527698922,315.55012804538626,1222.8911925049963,25.620368827345878,0.686694673873717,24.230930600280036,0.09922076308006426,0.8145583897630716,0.146262214924543,137,125.47939993930831,282.51619825858836,138.43332231359707,310.80567118618285,299.80509878774507,131,272.0875831689438,742.9350877855013,707.5444622609198,695.0606192401133,122.92415904047908,2488.3336855951284
mistral-sql-div-100__mistral-7b-base__sql-div-100__all-linear-r16__s11__2e551bde7e,mistral_sql_div_100,mistral_7b_base,sql_div_100,11,16,4,all,8000,8000,uniform,0.42332881541522144,True,0.6578617472766672,1.1020033543463796,8.618289540174493,201.24761075226434,1505.878169175037,36.263309257485055,0.9656139353755862,24.116726005669086,0.10932507903690424,0.824627463971155,0.13569180786846405,59,66.9921447773125,110.58857410665208,130.37862509626808,264.20348546634926,229.5280540299651,51,95.96443756344709,685.4223722284844,478.84454339610204,456.891282959721,63.032721293930294,2237.161491609759
mistral-sql-div-100__mistral-7b-base__sql-div-100__all-linear-r16__s22__4803452ed0,mistral_sql_div_100,mistral_7b_base,sql_div_100,22,16,4,all,8000,8000,uniform,0.41194535612995475,True,0.6985372746384814,1.1020342293195426,7.617465680691917,201.8670047999542,1641.7030262703324,36.87011874386578,0.965251904213801,23.467880035421818,0.126995462675375,0.826603815787366,0.15148282579538228,57,64.77186560529464,106.00461518683858,130.92331509381611,267.92602966146194,218.76921809206402,46,85.67918707265025,689.9599910345469,472.65758490480687,442.2848847257068,59.608253824015776,2240.0940250923454
mistral-sql-div-100__mistral-7b-base__sql-div-100__all-linear-r16__s33__b237546146,mistral_sql_div_100,mistral_7b_base,sql_div_100,33,16,4,all,8000,8000,uniform,0.382142933040534,True,0.6722296676808058,1.1301356672775,6.621419691101362,194.06897433845378,1734.4833119378534,37.027363799574424,0.9949663772713393,22.8747035415939,0.1333633549479117,0.8204393793925107,0.17829250854006035,50,61.14273716561603,91.88933809503962,127.81971922539526,255.46551160581328,200.1564906173542,38,70.97235043224379,674.8031384897207,450.1097377839046,417.0985501086194,55.37153750358816,2218.160829703486
mistral-sql-div-10__mistral-7b-base__sql-div-10__all-linear-r16__s11__0b9930e29b,mistral_sql_div_10,mistral_7b_base,sql_div_10,11,16,4,all,8000,8000,uniform,0.34683022290877924,True,0.6517227006539176,1.1223661378026009,8.634252122192123,207.55764969669707,1583.8992845924276,35.32466054028652,0.9841161298099905,23.074409955745555,0.13912338237309432,0.8236830228318723,0.1278777350423029,61,68.18636674254022,114.12423788075017,130.08245429894396,263.11455658164925,224.17763203576456,52,96.48764316563329,684.4007431102059,483.5356473883263,457.4214336215489,63.21293496658262,2251.203359143961
mistral-sql-div-10__mistral-7b-base__sql-div-10__all-linear-r16__s22__49e4355d15,mistral_sql_div_10,mistral_7b_base,sql_div_10,22,16,4,all,8000,8000,uniform,0.3668582010990144,True,0.6920042871385244,1.1033575613982975,7.535801372566631,197.08229998382373,1595.5470080676391,35.222931169480745,0.9668744702357799,22.559891891420772,0.10079630713930232,0.8188149009267969,0.15194818180427236,55,64.85737554749579,103.33908414264388,128.69929335082583,258.95305545207555,218.9435010071679,45,84.03584180071336,678.4005422318032,467.3681149838764,439.53857177497844,59.164531361715824,2229.656976314381
mistral-sql-div-10__mistral-7b-base__sql-div-10__all-linear-r16__s33__40b3902bb4,mistral_sql_div_10,mistral_7b_base,sql_div_10,33,16,4,all,8000,8000,uniform,0.4113403859509332,True,0.6650980377942259,1.1024434315040708,6.817696727458659,191.638963458904,1637.5298753699585,35.25513398032521,0.9698314922861755,23.102606309260356,0.12910148733202664,0.824101540612597,0.16039819994885812,52,62.69238479738121,96.45588222696935,128.40816374452973,255.4456462696583,208.2282362866723,41,75.26124472114239,673.7161437206753,455.61606943321556,424.26428559349404,56.42518087256501,2212.1741623941653
mistral-sql-div-25__mistral-7b-base__sql-div-25__all-linear-r16__s11__40e56a9a13,mistral_sql_div_25,mistral_7b_base,sql_div_25,11,16,4,all,8000,8000,uniform,0.3487535932162198,True,0.6521673170440987,1.1039765845052898,7.813170356451601,195.56139394436764,1537.001197928239,36.224597963484605,0.9608798250555992,23.137013117486806,0.1017932136861676,0.8246667677263287,0.13348164478960528,53,63.26860026681954,98.69727368419981,128.71850767647635,259.1463293080903,223.76058371273524,47,86.94333468396854,679.4871480395104,461.1523394533691,441.37946443742607,60.48592852336344,2218.714799392752
mistral-sql-div-25__mistral-7b-base__sql-div-25__all-linear-r16__s22__9a3cd872f8,mistral_sql_div_25,mistral_7b_base,sql_div_25,22,16,4,all,8000,8000,uniform,0.4246910179982919,True,0.6977607491073607,1.0818390033673495,8.230613153774986,198.42126794672393,1509.3274791467643,35.3953164601277,0.9444463825784624,22.13548373779008,0.08979223790373841,0.8273863473323256,0.14025916965667654,58,66.56807762235422,108.73810905193203,128.9451332650237,260.0419028416469,228.0039934220953,49,92.55426893843077,680.3422743796533,475.5013150962599,452.7734526141368,61.77858181125906,2233.6934874315857
mistral-sql-div-25__mistral-7b-base__sql-div-25__all-linear-r16__s33__c31fe12ff3,mistral_sql_div_25,mistral_7b_base,sql_div_25,33,16,4,all,8000,8000,uniform,0.38773363785901915,True,0.673394797168601,1.100771657191217,7.766890268656564,199.35504583651783,1555.1361450077475,34.97695760552266,0.9621321528684348,22.979346762501308,0.0997881180111016,0.8257117633160826,0.1233320915410675,57,64.7224368710994,105.14678168780691,131.1502126113729,266.19956170962837,230.5075931029914,49,90.12382072823218,688.6426394029203,470.79404941016764,448.41100120803543,60.650391582353386,2236.159042992857
mistral-text-to-sql__mistral-7b-base__text-to-sql__all-linear-r16__s11__40d2ed96d8,mistral_text_to_sql,mistral_7b_base,text_to_sql,11,16,4,all,8000,8000,uniform,0.4216584606987597,True,0.6565544059815953,1.1020033543463796,8.618289540174493,201.24761075226434,1505.878169175037,36.263309257485055,0.9656139353755862,24.116726005669086,0.10932507903690424,0.824627463971155,0.13569180786846405,59,66.9921447773125,110.58857410665208,130.37862509626808,264.20348546634926,229.5280540299651,51,95.96443756344709,685.4223722284844,478.84454339610204,456.891282959721,63.032721293930294,2237.161491609759
mistral-text-to-sql__mistral-7b-base__text-to-sql__all-linear-r16__s22__ad81205471,mistral_text_to_sql,mistral_7b_base,text_to_sql,22,16,4,all,8000,8000,uniform,0.4332007301442996,True,0.7013672586008004,1.1020342293195426,7.617465680691917,201.8670047999542,1641.7030262703324,36.87011874386578,0.965251904213801,23.467880035421818,0.126995462675375,0.826603815787366,0.15148282579538228,57,64.77186560529464,106.00461518683858,130.92331509381611,267.92602966146194,218.76921809206402,46,85.67918707265025,689.9599910345469,472.65758490480687,442.2848847257068,59.608253824015776,2240.0940250923454
mistral-text-to-sql__mistral-7b-base__text-to-sql__all-linear-r16__s33__fcca487b29,mistral_text_to_sql,mistral_7b_base,text_to_sql,33,16,4,all,8000,8000,uniform,0.3913443512351987,True,0.6696225152650647,1.1301356672775,6.621419691101362,194.06897433845378,1734.4833119378534,37.027363799574424,0.9949663772713393,22.8747035415939,0.1333633549479117,0.8204393793925107,0.17829250854006035,50,61.14273716561603,91.88933809503962,127.81971922539526,255.46551160581328,200.1564906173542,38,70.97235043224379,674.8031384897207,450.1097377839046,417.0985501086194,55.37153750358816,2218.160829703486
mistral-xbrl-div-10__mistral-7b-base__xbrl-div-10__all-linear-r16__s11__e183f111b5,mistral_xbrl_div_10,mistral_7b_base,xbrl_div_10,11,16,4,all,3000,3000,uniform,0.2731807226467965,True,1.714379519506109,1.7657149224542081,6.610337720907931,153.23963489495617,5372.597188899543,12.805870294532626,1.3418967816978693,10.207010783794004,0.11110838178530685,0.7440707224218763,0.025347383159302232,11,41.99669835811654,22.885989051830094,56.586427491875845,38.04922458710195,36.91240113977549,11,22.09838626914444,162.25606371812216,123.66997731899303,122.06091270169529,41.306361928913326,1511.5458896657183
mistral-xbrl-div-10__mistral-7b-base__xbrl-div-10__all-linear-r16__s22__005ac96f7f,mistral_xbrl_div_10,mistral_7b_base,xbrl_div_10,22,16,4,all,3000,3000,uniform,0.2632731767189787,True,1.7037454053812242,1.7496392773464322,6.391955364212846,148.77165627929875,5381.233002669283,11.815035086360853,1.3321252472233027,9.351725399384197,0.10957512119569399,0.7437989746036229,0.024898826660339393,11,40.92799175933428,21.856529844735437,55.57373328123365,36.99047033904386,35.30313392385937,10,21.174501376832346,158.4816774527251,120.09238525161018,118.49224281191357,40.341676584010244,1488.3601048201174
mistral-xbrl-div-10__mistral-7b-base__xbrl-div-10__all-linear-r16__s33__1d888049f5,mistral_xbrl_div_10,mistral_7b_base,xbrl_div_10,33,16,4,all,3000,3000,uniform,0.24450858302906947,True,1.5954149036981713,1.8014214453287423,7.1245249522075085,158.00103199895537,5319.299594880274,13.474948079540091,1.367244775639847,11.243135962746056,0.17225652312013126,0.746028199571324,0.026412377888998244,12,43.569140048330624,24.555303304180477,58.58648589425535,40.655716667660755,39.575323010823695,12,24.240135106720466,166.0747158676653,127.76025779082721,126.83113341815955,43.241890685766535,1502.4511278487043
mistral-xbrl-div-18__mistral-7b-base__xbrl-div-18__all-linear-r16__s11__0440ddc60e,mistral_xbrl_div_18,mistral_7b_base,xbrl_div_18,11,16,4,all,3000,3000,uniform,0.27234658052535765,True,1.7232282871348825,1.763803115580231,6.639909773399241,153.09155707229792,5408.03350869314,13.300268562700404,1.3425074799451977,10.611725330889719,0.1198815631969524,0.7431879895447527,0.025702617052414625,11,41.814850463968114,22.529301331337635,56.231071092887504,37.149513261638745,35.8393551463062,11,21.695744579422783,162.6676470074441,122.91629906573262,121.16718755600921,41.091236401202686,1567.15463702822
mistral-xbrl-div-18__mistral-7b-base__xbrl-div-18__all-linear-r16__s22__d7f465415f,mistral_xbrl_div_18,mistral_7b_base,xbrl_div_18,22,16,4,all,3000,3000,uniform,0.3162355920783585,True,1.7087512867003696,1.7595076747238636,6.472834761165759,151.11604832067374,5406.616979349863,13.12665171751129,1.3358641467057168,10.160718539614221,0.11421091913749883,0.7423992812768577,0.025187164435789944,11,41.41034331122351,22.172478831374,55.96246419718764,37.082017139578326,35.44697548539535,10,21.30829264009333,161.38847707025494,121.82781184939121,119.68374767259635,40.60283254483121,1538.2551916482357
mistral-xbrl-div-18__mistral-7b-base__xbrl-div-18__all-linear-r16__s33__bdc6a939c6,mistral_xbrl_div_18,mistral_7b_base,xbrl_div_18,33,16,4,all,3000,3000,uniform,0.2934369321286793,True,1.7160264541630605,1.7779223062098026,6.811589231442585,163.79653631848876,5586.799997453416,13.527363896253457,1.3413249447476119,10.645602161987973,0.14082917006925444,0.7436795256839628,0.02816446966988912,12,43.09283915117532,23.835766338451762,58.269818541315246,40.361587478333625,38.505482937901945,11,22.679060782638373,171.58312276801627,129.93384511804402,127.56428874147369,42.06847570579767,1597.0712200668027
mistral-xbrl-div-30__mistral-7b-base__xbrl-div-30__all-linear-r16__s11__92dc2e4677,mistral_xbrl_div_30,mistral_7b_base,xbrl_div_30,11,16,4,all,3000,3000,uniform,0.33508302810838464,True,1.7511687567073124,1.7777988817542791,6.830943731193531,166.03322819843197,5504.007169612169,13.634558265214453,1.3528647846542299,10.99406318085339,0.1615132627305606,0.7447221626099213,0.030521062581603583,12,43.303392066945236,24.304057581907614,59.77541393036648,42.40111652017252,40.80125043818205,12,23.609453349003452,176.02710909474797,131.4892758094416,130.11102852406103,42.74617969531356,1612.5100955214148
mistral-xbrl-div-30__mistral-7b-base__xbrl-div-30__all-linear-r16__s22__0cc6687c6e,mistral_xbrl_div_30,mistral_7b_base,xbrl_div_30,22,16,4,all,3000,3000,uniform,0.3465263834783217,True,1.756326863352237,1.7588415849022567,6.925493655850848,160.9010905601575,5347.019203008515,13.43651573782019,1.3430633682291955,10.474156715932706,0.10330610813516423,0.7442773710670939,0.027139704164296476,11,42.941184601702645,23.79204769537025,57.91471982423271,39.6327493238245,39.00277063778334,11,23.62109620276638,170.101429291819,128.66820451303914,127.74621518783982,42.62098093374961,1593.418336662101
mistral-xbrl-div-30__mistral-7b-base__xbrl-div-30__all-linear-r16__s33__e07e61b702,mistral_xbrl_div_30,mistral_7b_base,xbrl_div_30,33,16,4,all,3000,3000,uniform,0.27172182572072884,True,1.709983109464281,1.7524916753172874,6.52827441071014,161.08139148060073,5541.921901864453,12.686239321239203,1.334353803191334,10.03580484132554,0.1446719809564009,0.7438023415853058,0.02698602787911035,11,42.13603551856112,22.989701579790605,57.614191515474246,39.31348537379061,37.61407467556661,11,22.17087880378113,170.43099517739932,127.2871501186668,125.6437742357369,41.3565455029584,1603.3622788741459
mistral-xbrl-tags__mistral-7b-base__xbrl-tags__all-linear-r16__s11__80584e1a66,mistral_xbrl_tags,mistral_7b_base,xbrl_tags,11,16,4,all,8000,8000,uniform,0.32482611756209473,True,1.7502965597601798,1.7432780088856816,6.789814193103312,162.23832910986653,5319.370103345655,13.48038973543208,1.3196045709773898,10.574067481303622,0.12381756721818377,0.7449712374474718,0.027745275365481603,11,42.84606264436239,23.58176750984388,58.427164046286045,40.291266871527505,39.26566789095443,11,22.998511183064707,257.4403453303838,193.04991256042916,190.83321817904493,42.27963356302627,1858.2022598197345
mistral-xbrl-tags__mistral-7b-base__xbrl-tags__all-linear-r16__s22__09974a212c,mistral_xbrl_tags,mistral_7b_base,xbrl_tags,22,16,4,all,8000,8000,uniform,0.45725950904877655,True,1.7569982688417147,1.7566259568557143,6.952459670586551,165.5903046415291,5477.406903033054,14.092542639556612,1.336094842525199,10.9073283265609,0.12156051351346055,0.7442817359102984,0.02808949981530002,12,43.472252246975316,24.446610361367263,59.173486609765725,41.24404972920597,40.483414470818545,12,24.089486441184874,257.99691644238584,193.89165018709224,192.21719205561442,43.04033830155531,1878.7537631463142
mistral-xbrl-tags__mistral-7b-base__xbrl-tags__all-linear-r16__s33__ecf3a58e94,mistral_xbrl_tags,mistral_7b_base,xbrl_tags,33,16,4,all,8000,8000,uniform,0.33020597236182003,True,1.7351845442355498,1.7443375065922737,6.323781898149479,157.81886705981407,5432.536493015371,13.032233455923466,1.3295755218714476,9.92887724489782,0.1414757039870033,0.7431690141415268,0.02700185890987203,11,41.4764802278542,22.24370452526602,57.142594897149884,38.74965593621763,37.42179767830591,11,21.544484778531626,251.74589938227373,186.36474351214395,184.09144263074546,40.777439758516714,1849.458355468491
qwen25-kind-code__qwen25-7b-base__kind-code__all-linear-r16__s11__5ebaf38834,qwen25_kind_code,qwen25_7b_base,kind_code,11,16,4,all,8000,8000,uniform,0.6837292118958256,True,0.08905017272726945,1.9502548740969763,80.16265364578867,317.0309522861222,1516.879607469555,25.019697114608288,1.5620796287816667,28.66977777479423,0.4444515143707232,0.7531741620397866,0.15954815412193088,112,116.76758442126814,239.84245442802694,120.06910373616896,249.54725772302032,230.62043713724924,102,223.46875868597672,665.7167654187532,654.3141401576034,634.0892295832555,113.99250984895005,2442.3954197731646
qwen25-kind-code__qwen25-7b-base__kind-code__all-linear-r16__s22__4340ebd7bd,qwen25_kind_code,qwen25_7b_base,kind_code,22,16,4,all,8000,8000,uniform,0.6925149777346562,True,0.09314996873456116,1.9129188542366027,78.12477549538087,309.7483091841422,1480.5870487012903,25.847266742947955,1.5409008390903474,28.677180989723222,0.4499782876348855,0.7504538223477834,0.15531561681205688,111,115.50250474488844,237.54360087836284,119.63925735769999,249.00793360998324,226.24207133309818,100,218.72811782705276,663.9834725101316,650.3681502200898,626.1886411847536,112.38830177540947,2411.6785531506375
qwen25-kind-code__qwen25-7b-base__kind-code__all-linear-r16__s33__c104401224,qwen25_kind_code,qwen25_7b_base,kind_code,33,16,4,all,8000,8000,uniform,0.6288345214494019,True,0.08573686264386415,1.8827525331423833,76.82923603303712,307.9563242298707,1490.1385477586327,24.818583182293377,1.516533989655344,28.382516664991563,0.42557886072937323,0.7512928501434262,0.15588373689807647,109,114.59693925080603,234.57606609500453,118.18925450247767,244.82637554020087,221.54120459316553,98,214.6573907711534,657.3443195195921,645.2292972032233,619.8301955334975,110.80816769847185,2386.3116619680413
qwen25-kind-dialogue__qwen25-7b-base__kind-dialogue__all-linear-r16__s11__ad6ac4bccb,qwen25_kind_dialogue,qwen25_7b_base,kind_dialogue,11,16,4,all,7998,7998,uniform,1.2761045504486501,True,0.23448170341873498,3.0217004710506545,61.75504606045915,495.30512827403214,5131.029339699429,25.052527138813353,2.1241614275534633,27.858385048881804,0.9134116260091029,0.7718632130725345,1.5638230223380092,112,119.14485559858575,243.34919001939951,120.42898859500907,246.8654035932732,188.34678030258897,78,183.88062721035928,661.9430235287026,658.1421369636198,586.1849453306787,104.40659396051205,2700.1944158110505
qwen25-kind-dialogue__qwen25-7b-base__kind-dialogue__all-linear-r16__s22__3d8a59f72e,qwen25_kind_dialogue,qwen25_7b_base,kind_dialogue,22,16,4,all,7997,7997,uniform,1.1044302234095575,True,0.22046833831796064,2.9723859240027033,76.58293091078936,491.1062470853923,4185.606864483059,24.039057737760885,2.077748586734136,28.010913311390937,0.7541779670603866,0.7751621103469163,1.2580851191246907,120,123.01714151207116,257.7026111977725,124.54610073748812,261.731764022392,219.85020970192835,94,215.43145280942093,682.1851068662879,677.7559288996623,627.0752913337544,113.25965164988982,2714.3316331668448
qwen25-kind-dialogue__qwen25-7b-base__kind-dialogue__all-linear-r16__s33__644ec952f8,qwen25_kind_dialogue,qwen25_7b_base,kind_dialogue,33,16,4,all,7999,7999,uniform,1.1469673104150024,True,0.21996261023605523,2.9152432197157077,74.13486694175681,484.5606098479409,4280.342602877845,25.89761236577707,2.0535110805548875,27.999029998083042,0.852069956673321,0.7711102839402129,1.298375602115602,115,120.93464836836876,249.83207250099392,122.10728170550615,253.06619348116834,208.71110122861646,90,205.79143247844226,671.5654451608286,668.1287153999326,614.3920103709119,110.96722797651954,2703.136199354147
qwen25-kind-instruct__qwen25-7b-base__kind-instruct__all-linear-r16__s11__a7e7fd6fe8,qwen25_kind_instruct,qwen25_7b_base,kind_instruct,11,16,4,all,8000,8000,uniform,0.7708760658238384,True,0.1766618394762136,1.8759903769241646,69.2307681589381,431.5744401647271,3218.5412781658397,23.37884023418939,1.4167384664760903,27.83421835477891,1.0295153742365841,0.8126706659611603,1.429613276448217,135,131.0980132413274,286.0072520805735,131.90087557989068,287.8114746278327,209.15878795034226,90,207.12284718733343,714.6645024650159,712.9210305245487,615.5582998928629,111.00190131030679,2637.691201845475
