model_key,dataset_key,task_family,seeds,r_star_bits_per_value,reference_bits_saved_per_token,base_codelength_bits_per_token,surprisal_variance_bits2,margin_deficit_bits,hidden_effective_rank,surprise_weighted_hidden_logdet,residual_effective_rank,fisher_trace,fisher_effective_rank,fisher_logdet,unit_gain_ntk_cost,correction_rd90_bits,angular_correction_rd90_bits,centered_correction_rd90_bits,centered_angular_correction_rd90_bits,correction_energy_rank90,angular_correction_energy_rank90,trace_normalized_correction_logdet,angular_correction_logdet,centered_angular_correction_logdet,dataset_correction_log_volume,dataset_raw_correction_log_volume,dataset_centered_correction_log_volume,dataset_fisher_log_volume,repeated_dataset_arms
mistral_7b_base,sql_div_100+text_to_sql,sql,3,0.4106034411106614,0.6760288115739024,1.1113910836478074,0.12322796555339699,0.9752774056202421,36.72026393364175,0.8238902197170105,23.486436527561604,1627.3548357944076,7.619058303989257,199.06119663022412,0.15515571406796888,84.20532502278037,102.82750912951008,216.1512542464611,262.5316755778748,45.0,55.333333333333336,59.33750420717808,64.30224918274105,129.70721980515984,467.2039553616045,438.75823926468246,683.3951672509173,2231.805448801864,2
mistral_7b_base,sql_div_10,sql,3,0.3750096033195756,0.6696083418622226,1.1093890435683231,0.12300705894814108,0.9736073641106486,35.26757523003082,0.8221998214570888,22.912302718808892,1605.658722676675,7.662583407405805,198.7596377131416,0.14674137226514447,85.26157656249634,104.63973475012114,217.1164564432016,259.1710861011277,46.0,56.0,59.60088240028782,65.24537569580573,129.06330379809984,468.8399439351394,440.4080969966738,678.8391430208948,2231.011499284169,1
mistral_7b_base,sql_div_25,sql,3,0.3870594163578436,0.6744409544400201,1.0955290816879522,0.09712452320033588,0.9558194535008321,35.53229067637832,0.8259216261249124,22.7506145392594,1533.8216073609171,7.936891259627717,197.7792359092031,0.13235763532911646,89.87380811687717,104.19405480797957,227.42405674594065,261.7959312864552,48.333333333333336,56.0,60.97163397232529,64.85303825342439,129.60461785095765,469.1492346532655,447.5213060865328,682.8240206073614,2229.5224432723985,1
qwen25_7b_base,sql_div_100+text_to_sql,sql,3,0.6011562181345881,0.26323439885600497,0.5428899273004694,0.06939502199937796,0.42563907692480524,22.258084908072505,0.7488438551882538,23.661839668217812,678.0787428257912,30.691486224319757,153.81060170406042,0.3841107611122631,123.1514180520901,134.5001740515901,159.45025809904834,185.20063372513718,55.0,61.333333333333336,86.41905138323352,87.37063057518753,109.00106719839323,506.6614143166492,481.56857676744806,578.6952061034484,2027.5818807343542,2
qwen25_7b_base,sql_div_10,sql,3,0.5837010484948503,0.24972457181627483,0.5478318274059953,0.0699932079627864,0.4290899754560087,21.47799130488919,0.746774177522821,24.17811546209035,679.4108008122062,31.550644622439744,156.25113813408487,0.40499039634840267,125.80776512976836,137.32228934074254,161.29628447128118,184.7636164369783,56.666666666666664,62.333333333333336,87.59875178745519,89.04791178658301,109.66157519642987,509.67099556312456,485.55565192008004,577.5187467060272,2034.093209589442,1
qwen25_7b_base,sql_div_25,sql,3,0.6111430273430632,0.2574560842002447,0.5581674075316793,0.08449751295264134,0.43751425114654313,21.593131746064454,0.7490154221867131,23.98664349124907,660.187692713739,31.133542336763288,153.5483578132567,0.3762889656224629,125.64986631327035,135.6030765936039,161.8426769295298,185.57554411939608,56.333333333333336,61.333333333333336,87.47682511274816,88.0027854756309,109.40288482711965,508.99470321661755,485.45118754081915,580.1939281965718,2027.1897904385714,1
mistral_7b_base,xbrl_div_10,xbrl,3,0.2603208274649482,1.6711799428618346,1.7722585483764608,0.13098000870037738,1.347088934853673,12.698617820144525,0.744632632198941,10.267290715308086,5357.709928816366,6.708939345776095,153.33744105773675,0.025552862569546624,22.504340917565752,23.09927406691533,37.26361935815285,38.56513719793552,11.0,11.333333333333334,41.62997639956337,42.16461005526048,56.91554888912162,123.84087345381015,122.46142964392281,162.2708190128375,1500.7857074448466,1
mistral_7b_base,xbrl_div_18,xbrl,3,0.2940063682441318,1.7160020093327708,1.7670776988379657,0.12497388413456856,1.339898857132842,13.318094725488384,0.7430889321685245,10.472682010830638,5467.150161832139,6.641444588669195,156.00138057048682,0.0263514170526979,21.89436600071816,22.845848833721135,36.59727118986783,38.19770595985023,10.666666666666666,11.333333333333334,41.25418155061052,42.10601097545565,56.8211179437968,124.89265201105594,122.8050746566931,165.2130822819051,1567.4936829144197,1
mistral_7b_base,xbrl_div_30,xbrl,3,0.3177770791024784,1.7391595765079435,1.7630440473246078,0.1364971172740419,1.3434273186915864,13.25243777475795,0.744267291754107,10.501341579370544,5464.316091495045,6.761570599251506,162.6719034130634,0.0282155982083368,23.133809451850322,23.695268952356155,39.13936525051067,40.449117072595875,11.333333333333334,11.333333333333334,42.24123537734052,42.79353739573634,58.43477509002448,129.14821014704918,127.83367264921259,172.18651118798877,1603.0969036858871,1
mistral_7b_base,xbrl_tags,xbrl,3,0.3707638663242305,1.747493124279148,1.74808049077789,0.12895126157288253,1.3284249784580122,13.535055276970718,0.7441406624997656,10.470091017587448,5409.771166464693,6.688685253946448,161.88250027040323,0.027612211363551215,22.877494134260402,23.424027465492387,39.05696001335963,40.094990845650365,11.333333333333334,11.333333333333334,42.03247054103277,42.59826503973064,58.24774851773389,191.1021020865551,189.0472842884683,255.72772038501446,1862.1381261448466,1
qwen25_7b_base,xbrl_div_10,xbrl,3,0.3969269887857327,0.6161989944262594,0.6658826292841695,0.21632243556114072,0.5332815031239685,8.191119316173639,0.7321147861598062,10.378087579762365,1713.2713986652172,9.126591586566612,89.75485339101219,0.18062716277122645,22.496571616219082,26.95998898392222,22.92655545845688,27.579257650253243,10.333333333333334,12.0,41.93080554211775,46.54169405075762,47.20227311606606,120.23438401300643,109.86729104646993,123.17150078071843,1056.2295562644833,1
qwen25_7b_base,xbrl_div_18,xbrl,3,0.4430184704073699,0.663472782229793,0.676305120830269,0.1588282719606291,0.5424596603940396,8.813593433920964,0.7306257649574798,10.640048189290074,1697.5980440411731,9.285278485963545,89.63940244044825,0.1822241413928963,22.17015880024462,26.766012154899443,22.58740068949528,27.303648348509636,10.0,12.0,41.74694754977446,46.596237846755606,47.18420891589245,121.25430331106473,110.59932466874015,124.35964594834513,1131.6848473985365,1
qwen25_7b_base,xbrl_div_30,xbrl,3,0.469200603327846,0.6884740764597154,0.6836750924994703,0.21685304955930226,0.552721975252401,8.400315617815624,0.7324087733931512,10.607496212245813,1838.7493152089064,9.014034832743226,95.09970235617176,0.1912271589414876,23.242273974295898,27.435804411288455,23.931463491358432,28.198591485884844,10.666666666666666,12.0,42.67958313786419,47.21581565512014,48.02713883932304,123.95164575566524,113.72798581846648,127.39403964766989,1164.4521229195877,1
qwen25_7b_base,xbrl_tags,xbrl,3,0.47436020446021815,0.7009649898312617,0.6473642947288075,0.15656566847249562,0.5198590925695802,8.811028040168656,0.7320768678727961,10.516444198650381,1674.2216675584314,9.592034924440874,93.52171381034888,0.19484473711652425,23.840992157924585,27.478521827641696,24.47373462504841,28.14847197472979,11.0,12.0,43.34079343014454,47.23885383754424,47.928650602568126,178.51964395608968,165.9497979144218,184.7351767000395,1396.6891122016243,1
